Country,Population,Net Change,Yearly Change,Density,Land Area,Migrants,Fertility Rate,Median Age,Urban Population,World Share
India,1428627663,0.81 %,"11,454,490",481,2973190,-486136,2.0,28,36 %,17.76 %
China,1425671352,-0.02 %,"-215,985",152,9388211,-310220,1.2,39,65 %,17.72 %
United States,339996563,0.50 %,"1,706,706",37,9147420,999700,1.7,38,83 %,4.23 %
Indonesia,277534122,0.74 %,"2,032,783",153,1811570,-49997,2.1,30,59 %,3.45 %
Pakistan,240485658,1.98 %,"4,660,796",312,770880,-165988,3.3,21,35 %,2.99 %
Nigeria,223804632,2.41 %,"5,263,420",246,910770,-59996,5.1,17,54 %,2.78 %
Brazil,216422446,0.52 %,"1,108,948",26,8358140,6000,1.6,34,88 %,2.69 %
Bangladesh,172954319,1.03 %,"1,767,947",1329,130170,-309977,1.9,27,41 %,2.15 %
Russia,144444359,-0.19 %,"-268,955",9,16376870,-136414,1.5,39,75 %,1.80 %
Mexico,128455567,0.75 %,"951,442",66,1943950,-50239,1.8,30,88 %,1.60 %
Ethiopia,126527060,2.55 %,"3,147,136",127,1000000,-11999,4.0,19,22 %,1.57 %
Japan,123294513,-0.53 %,"-657,179",338,364555,99994,1.3,49,94 %,1.53 %
Philippines,117337368,1.54 %,"1,778,359",394,298170,-69996,2.7,25,47 %,1.46 %
Egypt,112716598,1.56 %,"1,726,495",113,995450,-29998,2.8,24,41 %,1.40 %
DR Congo,102262808,3.29 %,"3,252,596",45,2267050,-14999,6.1,16,46 %,1.27 %
Vietnam,98858950,0.68 %,"672,094",319,310070,-82700,1.9,33,40 %,1.23 %
Iran,89172767,0.70 %,"622,197",55,1628550,-39998,1.7,33,74 %,1.11 %
Turkey,85816199,0.56 %,"474,958",112,769630,-318067,1.9,32,77 %,1.07 %
Germany,83294633,-0.09 %,"-75,210",239,348560,155751,1.5,45,77 %,1.04 %
Thailand,71801279,0.15 %,"104,249",141,510890,18999,1.3,40,52 %,0.89 %
United Kingdom,67736802,0.34 %,"227,866",280,241930,165790,1.6,40,85 %,0.84 %
Tanzania,67438106,2.96 %,"1,940,358",76,885800,-39997,4.6,17,38 %,0.84 %
France,64756584,0.20 %,"129,956",118,547557,67761,1.8,42,84 %,0.80 %
South Africa,60414495,0.87 %,"520,610",50,1213090,58496,2.3,28,69 %,0.75 %
Italy,58870762,-0.28 %,"-166,712",200,294140,58496,1.3,48,72 %,0.73 %
Kenya,55100586,1.99 %,"1,073,099",97,569140,-10000,3.2,20,31 %,0.68 %
Myanmar,54577997,0.74 %,"398,691",84,653290,-34998,2.1,30,33 %,0.68 %
Colombia,52085168,0.41 %,"211,144",47,1109500,-175051,1.7,32,81 %,0.65 %
South Korea,51784059,-0.06 %,"-31,751",533,97230,29998,0.9,44,82 %,0.64 %
Uganda,48582334,2.82 %,"1,332,749",243,199810,-126181,4.4,16,29 %,0.60 %
Sudan,48109006,2.63 %,"1,234,802",27,1765048,-9999,4.3,19,35 %,0.60 %
Spain,47519628,-0.08 %,"-39,002",95,498800,39998,1.3,45,80 %,0.59 %
Argentina,45773884,0.58 %,"263,566",17,2736690,3718,1.9,32,94 %,0.57 %
